CMDLINE /home/tl/projects/learning/natural-language-processing/stanford-cs336/assignment1-basics/.venv/bin/python3 profile_train_bpe.py
MEM 413.523438 1753079909.7740
MEM 413.523438 1753079909.8745
MEM 413.523438 1753079909.9749
MEM 413.523438 1753079910.0754
MEM 413.523438 1753079910.1758
MEM 413.523438 1753079910.2762
MEM 413.523438 1753079910.3766
MEM 413.523438 1753079910.4769
MEM 413.523438 1753079910.5776
MEM 413.523438 1753079910.6780
MEM 413.523438 1753079910.7784
MEM 413.523438 1753079910.8788
MEM 413.523438 1753079910.9791
MEM 413.523438 1753079911.0796
MEM 413.523438 1753079911.1800
MEM 413.523438 1753079911.2803
MEM 413.523438 1753079911.3806
MEM 413.523438 1753079911.4809
MEM 413.523438 1753079911.5813
MEM 413.523438 1753079911.6816
MEM 413.523438 1753079911.7820
MEM 413.523438 1753079911.8825
MEM 413.523438 1753079911.9830
MEM 413.523438 1753079912.0834
MEM 413.523438 1753079912.1838
MEM 413.523438 1753079912.2843
MEM 413.523438 1753079912.3847
MEM 413.523438 1753079912.4850
MEM 413.523438 1753079912.5853
MEM 413.523438 1753079912.6858
MEM 413.523438 1753079912.7863
MEM 413.523438 1753079912.8865
MEM 413.523438 1753079912.9869
MEM 413.523438 1753079913.0872
MEM 413.523438 1753079913.1876
MEM 413.523438 1753079913.2879
MEM 413.523438 1753079913.3883
MEM 413.523438 1753079913.4885
MEM 413.523438 1753079913.5893
MEM 413.523438 1753079913.6897
MEM 413.523438 1753079913.7902
MEM 413.523438 1753079913.8905
MEM 413.523438 1753079913.9909
MEM 413.523438 1753079914.0914
MEM 413.523438 1753079914.1917
MEM 413.523438 1753079914.2919
MEM 413.523438 1753079914.3923
MEM 413.523438 1753079914.4926
MEM 413.523438 1753079914.5931
MEM 413.523438 1753079914.6935
MEM 413.523438 1753079914.7940
MEM 413.523438 1753079914.8944
MEM 413.523438 1753079914.9947
MEM 413.523438 1753079915.0951
MEM 413.523438 1753079915.1953
MEM 413.648438 1753079915.2960
MEM 413.648438 1753079915.3965
MEM 413.648438 1753079915.4968
MEM 413.648438 1753079915.5974
MEM 413.648438 1753079915.6978
MEM 413.648438 1753079915.7981
MEM 413.648438 1753079915.8984
MEM 413.648438 1753079915.9987
MEM 413.648438 1753079916.0991
MEM 413.648438 1753079916.1994
